conversation_id,turn_index,tweet_id,clean_text,intent,author_id,role,created_at,in_response_to_tweet_id
2449690,5,2449685,"@AmazonHelp Pas de soucis ! J'espère que vos collègues vont pouvoir résoudre mon soucis ! (Si oui, vous allez encore gagné de l'argent avec moi héhé)",delivery_and_shipping,,,,
1777840,1,1777840,"Yo, @AmazonHelp it's been a whole week, and my refund from last Saturday hasn't been through",other_or_unclear,,,,
495885,3,495884,@AmazonHelp Hi thanks for getting back to me 😊 This page on the talks about Prime Reading but doesn’t mention being a US resident. It’s on the UK Amazon site. https://t.co/6lDxYnXWZ7,returns_refunds_cancellations,,,,
338151,1,338151,@116090 you need to chill on your oversized packaging. https://t.co/jMJFOx8pc1,product_or_service_information,,,,
1115009,3,1115006,@AmazonHelp On peut donc lui dire adieu? Puisque pas de remboursement possible et qu'on ne pourra pas la recommander gratuite.,service_complaint,,,,
18137,5,18139,"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122",returns_refunds_cancellations,,,,
2463926,3,2463925,"@AmazonHelp Hi, I was asked to give a statement of my payment card, last 2 digits of my card , and number and email address. The instructions r not clear so I have supplied this on the phone but I keep receiving the same email requesting the same thing",contact_support,,,,
2868419,1,2868419,So mad at @115821 for giving me a late package notice like really I need to be compensated for the trouble,payment_and_billing,,,,
2298718,1,2298718,"Imagine coming home from work to your front door wide open because amazon decided to throw my parcel into the porch and not shut the door,fucking idiots🖕🏼",delivery_and_shipping,,,,
2934446,3,2934445,"@AmazonHelp You always do guys, thanks",delivery_and_shipping,,,,
234220,1,234220,@115850 your google ad for an Apple macbook shows a price 3000 less than the price on your site!! hope this is not a gimmick,other_or_unclear,,,,
117876,1,117877,@AmazonHelp Anything?,product_or_service_information,,,,
2422788,1,2422788,"I bought a Redmi 4 in June. TIL that @115850 will not allow to buy one more of it today from the same account, Tells me to order from other account or buy a different color !!! Strange and ridiculous policy @147135",other_or_unclear,,,,
2316918,1,2316918,Tres semanas esperando una llamada de @4498 e intentado que @46259 me de una respuesta. Así es imposible hacer una devolución @116928,account_and_membership,,,,
2275965,7,2275957,@AmazonHelp Are you serious? Have you seen that form? Get real.,returns_refunds_cancellations,,,,
1387105,31,1387106,@115850 Pls clear the dought about no cost emi offer on OnePlus 5t. OnePlus India tweeted that the product will available on nocostemi at popup event in Delhi @132995 @132994 @149087,service_complaint,,,,
2779165,2,2779163,@AmazonHelp el vendedor en Smart Tech Electronics,payment_and_billing,,,,
1357236,1,1357236,I want make something to block some seller on amazon like this fucking seller (DigitalandMore) for ever @117795 @115821 https://t.co/0W3tKJBNem,product_or_service_information,,,,
1773474,1,1773474,アマゾンプライムにコウノドリの１期があったので流し見しよ～と思ったけど号泣しまくりでつらい朝,service_complaint,,,,
2292110,1,2292110,"On Tues, I ordered stuff from @115821 to be delivered Sat (2day shipping delayed bc of holiday). No notification/reason why, but now my stuff may not arrive til Wed. Why am I paying extra for Prime if it's not shipping that way? #NotHappy",other_or_unclear,,,,
683874,4,683868,@AmazonHelp Strange @115821 @amazonhelp replied in me in this manner that Order 408-5915987-0037907 not able too check....for your reference am attaching image as well which shows its should not deduct any amount from my account then too its been deducted...Refund as early as poss. https://t.co/Y1g3j4V0Mr,delivery_and_shipping,,,,
1212224,1,1212223,@AmazonHelp So that’s how I know it was stolen and not misdelivered. How do I report this?,order_tracking,,,,
2449361,1,2449361,When Amazon sends you a picture of where they left your package but it's not your house... https://t.co/ajt4yJCCRh,delivery_and_shipping,,,,
271583,3,271582,@AmazonHelp The issue is with my Keurig Rivo.,delivery_and_shipping,,,,
288290,5,288286,@AmazonHelp The account was always there it's just not working now I guess since like few months its just inactive,wrong_or_damaged_item,,,,
384160,4,384159,@AmazonHelp Kindly check this I had fill a form,account_and_membership,,,,
944296,3,944297,@343908 @117795 I've been waiting since the start of October for my Buffy box set and I may as well have gone to HMV. Dear @115821 can I have my stuff now? It's sat in your Dunfermline warehouse and I'm really getting ratty.,contact_support,,,,
1041643,1,1041643,@AmazonHelp I've disputed charges from you and you've said I would be contacted by act. Spec. No contact. You deleted my Prime. What gives?,delivery_and_shipping,,,,
2460804,1,2460804,無事、エイト限定盤が届いた!!! amazonさん、ありがとう♪ https://t.co/3Jqw5uqU8n,payment_and_billing,,,,
2515910,1,2515910,"You know, when you say something is going to be delivered on a day when ordered and then change it when it's shipped, sometimes that doesn't work. @115817 unable to change delivery address until a delivery attempt has been made, which is to drop it off on my porch. @amazonhelp",other_or_unclear,,,,
219506,1,219506,"@115821 is going to hate me, cancel my Prime account and ask me to take my business elsewhere. All I can say is I'm sorry.",delivery_and_shipping,,,,
2205339,1,2205339,wtf @115821 i order something on tree 15th and isnt shipping until the 23rd? not cool,account_and_membership,,,,
1384458,1,1384457,@AmazonHelp Use it again and it isn't working.,delivery_and_shipping,,,,
918191,7,1735400,"@115850 I didn't Check email, however i reported twice to customer care team members..",website_app_technical_issue,,,,
608060,1,608060,Why does @115821 still use USPS to deliver anything in a city. It's been a disaster trying to get a package delivered if not home to receive it. Completely lost the convenience of Amazon...,contact_support,,,,
2744180,3,2744179,@AmazonHelp Parcels keep being delivered to neighbours when I have a designated safe place. And when I ring up about it no one knows what to say!!,delivery_and_shipping,,,,
1254171,1,1254171,Amazonプライムナウのショートメール番号から変なメッセージ来たんやけど架空請求っていう認識でええんやろか？？ https://t.co/P8Vbn0kdEU,delivery_and_shipping,,,,
1014703,23,1014730,@AmazonHelp 24 hour gone u done nothing I want suspension of these staff who don't train courier boy and manager Abhishek vishal superviser h,other_or_unclear,,,,
538620,3,538619,"@AmazonHelp Arraaaasaniiiiii @117086 xD comprei para um amigo o ""O livro do Jô uma autobiografia desautorizada""! Mas é segredo (ainda bem que ele não tem twitter hahahaha) 😝",service_complaint,,,,
2230301,5,2230296,@AmazonHelp Vi a série primeiro no Prime,other_or_unclear,,,,
1988697,3,1988692,"@AmazonHelp Well I got a call, but i don't see things getting any better. They are asking me to wait till end of the day. Let's wait. Though I know what would happen as it's happening for the third time.",product_or_service_information,,,,
252862,3,252861,@AmazonHelp He can't tell tell me anything so your customer service is a waste of time😡😡,service_complaint,,,,
2930068,5,2930056,"@AmazonHelp I have already remind them two times, but there is no response from your side",service_complaint,,,,
780598,11,780595,@AmazonHelp I received nothing so far :(,contact_support,,,,
2934338,1,2934338,@115850 my return has not been pickedup order no 403-2551217-4365153 for more than 15 days,delivery_and_shipping,,,,
2835573,3,2835570,@AmazonHelp 24/11!,returns_refunds_cancellations,,,,
1402880,1,1402881,@AmazonHelp Je tiens à vous dire publiquement que mon problème a été résolu 15 min après mon premier tweet !! Bravo à vous !! Ils m'ont appelé aussitôt,other_or_unclear,,,,
585714,7,585718,"@AmazonHelp Yes, I went to my order and clicked get product support and sent them a message about the issue yesterday.",contact_support,,,,
2422728,9,2422742,"@AmazonHelp Concernant le jeu, le problème est réglé nous l'avons reçu aujourd'hui",contact_support,,,,
1500718,1,1500717,"@260566 @171383 Hallo? Wieso ignoriert ihr mich, ich dachte wir lieben uns. 😭💔",product_or_service_information,,,,
2878682,1,2878682,@115830 Until now I didn’t receive my order Pls do the necessary (Final Details for Order #205-0702675-7673961 ),service_complaint,,,,
30544,3,30513,@AmazonHelp I have replied as well,delivery_and_shipping,,,,
1258160,1,1258158,@115850 The customer care team informed that refund is processed in 4 working days but after 10 days nothing has happened,other_or_unclear,,,,
397305,73,1735207,@AmazonHelp Oh thank you! Waiting 😇,returns_refunds_cancellations,,,,
2944323,1,2944323,"@132743, je souhaite refuser un colis expédié par Amazon (à sa demande). Mais comment faire, étant donné que le livreur dépose systématiquement les colis dans la boite aux lettres sans sonner à l'interphone (résidence) ?",other_or_unclear,,,,
890805,5,890807,"@AmazonHelp No, si es que tampoco creí que me fuera a contestar nadie por aquí, LG. Voy a probar a contactar, que tengas buen finde. ❤",delivery_and_shipping,,,,
239495,1,239495,ずっと在庫切れだなー困ったなーと思ってたPCワゴン、ダメ元で「入荷したらお知らせ」ボタン押したら翌日に入荷した。あまぞんさん愛してる。 https://t.co/9cBEivWu2D,contact_support,,,,
713769,3,713766,@AmazonHelp Said only the seller could lift the restriction. Seller said contact @115821 and @115821 said contact @115817 and @115817 said contact @115821 lol,other_or_unclear,,,,
2702026,1,2702026,@AmazonHelp [PT-BR] a capa deste produto está incorreta - https://t.co/A8IzbAaNsX ; deveria ser https://t.co/sQ15V2429N,product_or_service_information,,,,
1609984,1,1609984,@115821 Your rubbish policy is holding me answerable to return product at my cost and time. What’s going on here ?,wrong_or_damaged_item,,,,
1680355,1,1680355,@115850 I have sent this product 2 times but not done an quote different address https://t.co/bFK6qYJXwV,returns_refunds_cancellations,,,,
1092427,1,1092427,"Hey @116316 wann gibt es eigentlich mal individuelle Dashbuttons oder für Dinge,die man wirklich regelmäßig bestellt wie Druckerpatronen?",other_or_unclear,,,,
31395,1,31394,"@AmazonHelp Hey still didn't get the charging cable with it. Don't know how to charge it. please help!!!,this time I bought 2 of it",product_or_service_information,,,,
2144522,1,2144522,@115850 @1141 why can’t you accept the bad review? https://t.co/62rDzIAyhk,wrong_or_damaged_item,,,,
2184596,3,2184594,@AmazonHelp shipped and sold through amazon.,service_complaint,,,,
298971,1,298971,"@AmazonHelp you seriously need to sort out your delivery drivers, 3 horrific deliveries in 2 weeks, disgusting, it's not on.",product_or_service_information,,,,
727612,1,727612,@AmazonHelp hello! May I have update about my order 405-3537172-2986767 ? It appears as delivered but it never was. Thanks!,order_tracking,,,,
1299494,5,1299496,@AmazonHelp これがCDの予約購入をしたいときに常々不便に思っていることなんです ぜひご検討ください,other_or_unclear,423720.0,customer,Mon Oct 16 10:05:56 +0000 2017,1299495.0
2775898,3,2775897,"@AmazonHelp Yes, 2 times now. The first time I was told that because I didn't know the email it was changed to they couldn't help. And the second time I was told that there was no security issues when there clearly were since I wasn't listing these items and the email was changed. https://t.co/aSFhtNOjVc",account_and_membership,775647.0,customer,Tue Nov 21 15:23:24 +0000 2017,2775896.0
231849,3,231848,@AmazonHelp I bought the products between 21-23 sep 2017 I don't actually remember the name of the event,product_or_service_information,171214.0,customer,Tue Oct 10 04:10:30 +0000 2017,231847.0
337419,3,337417,@AmazonHelp AMZL US. I did call Customer Service and complained. Inexcusable.,service_complaint,196516.0,customer,Sat Oct 07 22:01:17 +0000 2017,337418.0
865701,1,865701,"Guys, don't fall for Casback on Amazon Pay at Amazon. In. They say 15% but just give 3 or 4 %. @115850. @AmazonHelp @AmazonHelp @115821",payment_and_billing,322303.0,customer,Fri Oct 13 14:50:02 +0000 2017,
2388005,4,2388004,@AmazonHelp 返品手続きをした後、また初めから注文しなおしないと行けないんですか？,other_or_unclear,688092.0,customer,Tue Nov 14 12:41:13 +0000 2017,2388003.0
503418,1,503418,@AmazonHelp tracking my parcel says it was handed to resident. This is a lie. I have been in all evening and nothing has been delivered. Please can you send item again at no cost to myself.,delivery_and_shipping,235306.0,customer,Fri Dec 01 20:32:38 +0000 2017,
1860023,1,1860023,@AmazonHelp @115850 BUT IT ISN’T working ALREADY. What do I do????? I need an exchange or a return ASAP !!!!! https://t.co/8uIoIGsHWe,returns_refunds_cancellations,494998.0,customer,Sun Nov 26 07:23:31 +0000 2017,
2954465,3,2954464,"@AmazonHelp Sí, y ya envié todo desde hace una semana 🙄",delivery_and_shipping,815669.0,customer,Wed Nov 29 18:56:56 +0000 2017,2954463.0
2965268,1,2965268,"@AmazonHelp hey I bought something but still has not come, should of be been here last week. https://t.co/sVgyITsrJr I pay more so that it will come before December but still not here why?",delivery_and_shipping,818095.0,customer,Wed Nov 29 22:17:15 +0000 2017,
325825,1,325825,@115850 Used iPad pro 10.5 delivered bought under Amazon Prime(ORDER # 403-9705714-1369907). Never expected this from Amazon Prime.,delivery_and_shipping,193626.0,customer,Sat Oct 07 15:40:03 +0000 2017,
1557649,3,1557647,@AmazonHelp When will you be processing payment and shipping for the xbox one x,order_tracking,481482.0,customer,Sun Nov 05 14:18:35 +0000 2017,1557648.0
1737116,3,1737115,@AmazonHelp 付いてるポスターが違った,other_or_unclear,524400.0,customer,Tue Nov 07 09:55:07 +0000 2017,1737114.0
277565,4,316344,@AmazonHelp Nein. Betriebssystem zu neu. App muss angepasst werden.,website_app_technical_issue,182304.0,customer,Sat Oct 07 13:46:03 +0000 2017,277566.0
1774541,6,1774787,@AmazonHelp Amazon logistics,product_or_service_information,532250.0,customer,Wed Nov 08 04:55:21 +0000 2017,1774786.0
356382,1,356382,The preparations for Diwali is on its peak with @115850 . https://t.co/cYeNT5gOI6,other_or_unclear,200616.0,customer,Sun Oct 08 13:22:24 +0000 2017,
1522602,3,1522600,@AmazonHelp Yeah Ive done all of those things. Noone has the parcel and no delivery card but my account says “delivered to customer” yesterday afternoon,delivery_and_shipping,473138.0,customer,Fri Nov 03 21:01:19 +0000 2017,1522601.0
2266797,3,2266796,@AmazonHelp No I was emailed at 7pm to say it wasn’t coming 😡,delivery_and_shipping,215458.0,customer,Sat Nov 11 07:39:22 +0000 2017,2266795.0
2687686,1,2687686,"Seriously @115830 @AmazonHelp, what the heck? 3 Prime orders placed in the last couple of days, all failed to be delivered next day #fail https://t.co/5wpxZDD6W9",delivery_and_shipping,755719.0,customer,Tue Oct 31 17:39:16 +0000 2017,
929642,1,929642,"@AmazonHelp Heya ! My boyfriend and I have both made order on your website, and both of our orders have been delivered, but none of them to",delivery_and_shipping,340565.0,customer,Fri Oct 13 21:22:07 +0000 2017,
31857,1,31857,I thought I missed my Amazon 📦 yesterday but the driver came back 💃🏾,delivery_and_shipping,123034.0,customer,Wed Nov 01 12:28:11 +0000 2017,
421372,2,421365,@115850 order tracking method is very pathetic in amazon.they dont update for days the status of the shipment at that point of time.,order_tracking,159198.0,customer,Tue Oct 10 08:04:53 +0000 2017,421372.0
778954,1,778954,"@AmazonHelp i have ordered mobile cover on 09.10.17 , but still the status is showing ""preparing for despatch """,order_tracking,306026.0,customer,Thu Oct 12 04:27:27 +0000 2017,
440086,11,440054,@AmazonHelp Done !! Now could you please contact?,contact_support,219445.0,customer,Thu Oct 12 11:13:39 +0000 2017,440053.0
134862,3,134860,@AmazonHelp It doesn’t give me any company name or phone number.,contact_support,146399.0,customer,Fri Nov 24 08:59:47 +0000 2017,134859.0
976711,2,976709,@115850 https://t.co/RR0ZfiC7cg,other_or_unclear,351655.0,customer,Sun Oct 22 04:08:03 +0000 2017,976711.0
2485517,21,2485644,@AmazonHelp No need.. keep money.. your representative replies we're outstanding.. blaming operaters for your fault.. so better to leave your site.. nd go through @122951 as they are nice with costumers.. not like you amazon.. Your way broke a costumer.. nd believe.. bye,service_complaint,226779.0,customer,Thu Nov 16 13:04:52 +0000 2017,2485643.0
2360558,1,2360558,@115833 alexa responds when calling her name but when giving a command does nothing already tried rebooting,website_app_technical_issue,121149.0,customer,Mon Nov 13 20:20:37 +0000 2017,
2103431,1,2103431,"@120533 bonjour, impossible de rappeler un livreur qui tente de nous appeler mais l'appel coupe ?",delivery_and_shipping,621059.0,customer,Wed Nov 08 11:48:25 +0000 2017,
2501935,6,2501939,@AmazonHelp It is yes,other_or_unclear,136972.0,customer,Thu Nov 16 07:00:57 +0000 2017,2501937.0
795152,12,816311,@AmazonHelp I hv to gift it to my mother on some sspl occasion however #AmazonIndia #Amazon Ruined it. U are loosing customers,service_complaint,180885.0,customer,Thu Oct 12 16:49:12 +0000 2017,803077.0
1225801,1,1225801,Wann ist eigentlich #BigBangTheory Staffel 10 auf Prime verfügbar? @115825 #Verzweiflung,product_or_service_information,407567.0,customer,Wed Oct 25 19:10:21 +0000 2017,
2367899,1,2367899,Excellent work from @115830 delivery team ... a full recycling bin on cardboard with a cardboard package in it! 👍🏼 https://t.co/p1eFvWIY4m,delivery_and_shipping,683410.0,customer,Mon Nov 13 23:30:31 +0000 2017,
313719,3,313718,@AmazonHelp Twice in last two weeks i had to resort to revise payment...but in vain despite miltiple efforts,payment_and_billing,190907.0,customer,Sat Oct 07 05:31:49 +0000 2017,313717.0
2704951,3,2704949,@AmazonHelp Found a feedback option under the help menu.,product_or_service_information,147602.0,customer,Sun Nov 19 23:09:11 +0000 2017,2704948.0
1328560,1,1328554,@AmazonHelp Order date 23-Oct-2017 Order # 404-7037174-4705134,order_tracking,149641.0,customer,Fri Oct 27 12:11:32 +0000 2017,1328560.0
2640893,7,2640932,"@AmazonHelp No salio eso, paso esto: elegí pagar con mi TC banorte a 9 meses después pasa a la sección de aplicar el código y pide actualizar el método de pago volví a escoger la TC Banorte pero no se ve si pague a meses sólo se ve el descuento.",payment_and_billing,745278.0,customer,Fri Nov 17 22:51:12 +0000 2017,2640931.0
876228,1,876228,@117634 so my mother has kindle unlimited. And wants to make a sub account for my daughter to use. How can we set this up?,account_and_membership,328030.0,customer,Fri Oct 20 18:27:08 +0000 2017,
1353464,1,1353464,".@116928 deberíais avisar antes de hacer el pedido qué compañía realiza la supuesta entrega, para por ejemplo cancelarlo si es @4496",returns_refunds_cancellations,435650.0,customer,Mon Oct 16 13:56:45 +0000 2017,
680653,1,680653,@AmazonHelp can I pay to @117144 through Amazon pay balance??,payment_and_billing,183038.0,customer,Thu Nov 23 08:28:31 +0000 2017,
330933,1,330933,https://t.co/nnyOBaYuDr Here is yet another fake seller on @115850 . This menace is on flipkart too. Buyers beware,service_complaint,194789.0,customer,Sat Oct 07 17:42:14 +0000 2017,
2802343,1,2802343,Of course RiME was supposed to be arriving today through Amazon and now has been delayed for tomorrow or the next day: https://t.co/TWvSXfizUF,delivery_and_shipping,781726.0,customer,Wed Nov 22 01:09:39 +0000 2017,
2339082,1,2339082,"@115850 you cheated again, charged money and not delivering the product. I'll now definitely sue you into the court.",delivery_and_shipping,355294.0,customer,Fri Oct 20 06:50:04 +0000 2017,
2291215,5,2291217,"@AmazonHelp Thats the reason of my twitt, the first fax was sended 48 hours after and I haven't any answer or feedback",service_complaint,665476.0,customer,Thu Oct 19 21:24:08 +0000 2017,2291216.0
478463,7,478460,"@AmazonHelp No, I've received absolutely nothing from you.",service_complaint,228683.0,customer,Fri Dec 01 16:26:40 +0000 2017,478459.0
384128,5,384130,"@AmazonHelp actually lads you probably can help me, my tracking stuff hasn't updated in two days and I'm getting a bit worried",order_tracking,206988.0,customer,Wed Oct 11 11:26:59 +0000 2017,384129.0
180563,3,180561,@AmazonHelp 夫婦共々Amazonさんには、いつもお世話になっております（*´▽｀*）今まで他のコンテンツにお金を払っていたのですが、Amazonプライムに入ってからは他が霞むくらい便利で驚いています。引き続き何卒宜しくお願い致します✨,other_or_unclear,158453.0,customer,Wed Oct 04 12:30:53 +0000 2017,180562.0
2767515,3,2767512,@AmazonHelp 公式さんリプライありがとうございます🙇🏻‍♀️ 注文商品の発売日まであと8日なのでまだメール来てないのが不安だったのですがもう少し待ってみようと思います。わざわざありがとうございました！,other_or_unclear,773889.0,customer,Tue Nov 21 11:13:34 +0000 2017,2767513.0
384464,1,384464,"Pathetic service by @115821 have placed this order 2 mnths back Still no idea where it is""WHEN YOU CARE ENOUGH TO SENT THE BEST""all bakwaas https://t.co/uRrkBdN7vG",delivery_and_shipping,207034.0,customer,Mon Oct 09 10:35:33 +0000 2017,
1574960,1,1574960,"Now after returning the book, delivery date of replacement is 20th Dec ... bloody hell ... @AmazonHelp ..@115850 (2/2)",returns_refunds_cancellations,485344.0,customer,Sat Nov 04 14:28:38 +0000 2017,
350140,4,350141,@115850 Resolution to my issue. https://t.co/iykWpgmtr4,other_or_unclear,184677.0,customer,Sun Oct 08 13:49:22 +0000 2017,350140.0
395423,1,395423,"@AmazonHelp bonjour, commande passée le 10/08, prévue pour le 08/09 et toujours rien, le vendeur ne répond pas à mes messages....",service_complaint,209593.0,customer,Mon Oct 09 17:56:29 +0000 2017,
179949,3,179948,@AmazonHelp Amazon. A mi padre no le ha dado tiempo a Comer el telefono y el repartidor ya no ha venido,delivery_and_shipping,158359.0,customer,Wed Oct 04 11:32:44 +0000 2017,179947.0
179455,1,179455,"I ordered something on @115830 back in July and it still hasn't arrived, I've contacted the seller, no response and I'm getting mad now.",delivery_and_shipping,158270.0,customer,Wed Oct 04 09:47:00 +0000 2017,
315768,1,315768,@115830 I really don’t know why I pay for prime. Always an issue with delivery and the customer service is non existent. Might cancel.,service_complaint,191391.0,customer,Sat Oct 07 07:34:09 +0000 2017,
1666028,1,1666028,Moin @AmazonHelp - seid ihr da?,contact_support,380463.0,customer,Tue Oct 17 15:10:07 +0000 2017,
548018,3,548017,@AmazonHelp Carrier was USPS. Tracking ID 936128__credit_card__,order_tracking,247508.0,customer,Sat Dec 02 17:51:06 +0000 2017,548016.0
343733,5,343737,"@117086 ""Os Irmaos Karamazov"" de Fiodor Dostoiévski. To adorando &lt;3",other_or_unclear,515802.0,customer,Mon Nov 06 20:50:54 +0000 2017,343733.0
753521,1,753521,"Ordered a Redmi 4 from amazon,was my first order from the site and found two pieces of soap inside. @115850 @AmazonHelp @115821",wrong_or_damaged_item,300094.0,customer,Wed Oct 11 14:24:44 +0000 2017,
755740,1,755740,"@120533 20h07, pas reçu mon colis.",delivery_and_shipping,300635.0,customer,Wed Oct 11 18:07:22 +0000 2017,
2238682,9,2238685,@132994 @115850 Hello dear Amazon and one plus Will you deliver the product within 2 days. If I order the oneplus5t on28th. I have a flight to catch on30th,delivery_and_shipping,784462.0,customer,Mon Nov 27 01:23:08 +0000 2017,2238682.0
331275,3,331274,@AmazonHelp Is it your new rules to harrash people good good makes people fool,service_complaint,194881.0,customer,Sat Oct 07 18:30:22 +0000 2017,331273.0
441858,1,441858,#fraud by @115850 Bought a product after confirming details. Now denying their own words @1560 @28320 Complaint#463356 https://t.co/tsovdkODdV,service_complaint,219784.0,customer,Wed Oct 11 06:49:10 +0000 2017,
2881847,3,2881845,@AmazonHelp None at all... just that I posted it a few weeks back and there's no update on it. I'll give you the Order number and ite item name via DM if it can help,order_tracking,799623.0,customer,Tue Nov 28 09:39:31 +0000 2017,2881846.0
2275919,1,2275919,Hey @115821 - Why has my order been moved from arriving today to monday? I paid for it to arrive by 1PM today...,delivery_and_shipping,371155.0,customer,Sat Nov 11 08:07:54 +0000 2017,
1245922,3,1245921,@AmazonHelp ご丁寧にご返信いただきありがとうございます。開けてみると、1か月前に注文した洋書でした。1月頃到着の予定でしたので、すっかり忘れていました。,other_or_unclear,412285.0,customer,Thu Oct 26 02:09:52 +0000 2017,1245920.0
2929528,1,2929528,おー見れるようになってる Amazonプライムありがとう DVD借りてくる手間が省けた https://t.co/n83xnyx36z,other_or_unclear,810418.0,customer,Wed Nov 29 06:26:38 +0000 2017,
1592057,1,1592057,"Ugh! Grr! I love @115821, I really do. But I HATE that you don’t warn before renewing my prime subscription! $105 is a big, unexpected hit!",payment_and_billing,489392.0,customer,Sun Nov 05 00:56:33 +0000 2017,
2873252,1,2873252,@132994 @115850 needed to understand the launch offers of the #OnePlus5T in detail. May there be someone to call back or explain the same much clearly.,product_or_service_information,279403.0,customer,Tue Nov 28 03:45:01 +0000 2017,
